epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7492,2.12934,3.59863,1.87003,0.0025,0.46154,0.00537,0.0027,1.85538,4.30883,1.73105,0.000333333,0.000333333,0.000333333
2,146.368,1.77619,3.16948,1.72329,0.00333,0.61538,0.0146,0.01009,1.50581,3.991,1.43097,0.0009901,0.0009901,0.0009901
3,338.551,1.51936,2.94291,1.46424,0.00333,0.61538,0.0146,0.01009,1.50581,3.991,1.43097,0.00163367,0.00163367,0.00163367
4,950.36,1.73716,4.53585,1.73324,0.00333,0.61538,0.00384,0.001,2.71299,4.31486,2.1899,0.0019406,0.0019406,0.0019406
5,1221.4,2.44197,6.09793,2.28607,0.00333,0.61538,0.00384,0.001,2.71299,4.31486,2.1899,0.0019208,0.0019208,0.0019208
6,1512.27,2.21781,4.6319,2.02953,0.00125,0.23077,0.00056,0.00018,3.27427,4.63358,3.1041,0.001901,0.001901,0.001901
