epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9527,1.71253,2.87456,1.77493,0.01871,1,0.33419,0.13265,1.42996,2.77432,1.5593,0.0015,0.0015,0.0015
2,162.34,1.54042,2.73868,1.70613,0.01615,1,0.32916,0.12253,1.39403,2.67874,1.46025,0.00101,0.00101,0.00101
