epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,532.012,1.20379,1.34007,1.4481,0.66418,0.29326,0.40188,0.14893,1.53035,2.35053,1.89381,0.0011684,0.0011684,0.0011684
44,540.402,1.10842,1.26689,1.37304,0.38181,0.44444,0.43097,0.15928,1.55461,2.37299,1.92334,0.0011486,0.0011486,0.0011486
45,548.745,1.09637,1.29154,1.35792,0.39224,0.69336,0.43522,0.16992,1.43202,2.3674,1.81007,0.0011288,0.0011288,0.0011288
46,557.705,1.12403,1.30621,1.38688,0.40067,0.7037,0.47566,0.20744,1.34575,2.27433,1.70503,0.001109,0.001109,0.001109
47,568.727,1.07791,1.25335,1.39216,0.40589,0.7037,0.54689,0.23678,1.27808,2.21166,1.62602,0.0010892,0.0010892,0.0010892
48,578.983,1.02104,1.21734,1.35432,0.60963,0.59259,0.54682,0.253,1.29173,2.12474,1.6776,0.0010694,0.0010694,0.0010694
49,591.02,1.0898,1.2158,1.39558,0.56765,0.72963,0.59177,0.2914,1.32017,2.10141,1.64474,0.0010496,0.0010496,0.0010496
50,601.669,1.05214,1.16593,1.35687,0.60228,0.59259,0.59261,0.30978,1.32705,1.90089,1.61551,0.0010298,0.0010298,0.0010298
51,611.954,1.04921,1.19009,1.37256,0.5833,0.51852,0.59213,0.28054,1.33142,1.88801,1.61632,0.00101,0.00101,0.00101
52,622.678,1.05379,1.19612,1.33885,0.41643,0.79306,0.62862,0.27726,1.37357,1.89496,1.64894,0.0009902,0.0009902,0.0009902
53,632.304,1.02071,1.21883,1.31887,0.64982,0.55003,0.63926,0.25716,1.40967,1.88312,1.68722,0.0009704,0.0009704,0.0009704
54,641.29,1.03898,1.22873,1.30695,0.49071,0.7037,0.57354,0.23764,1.47281,1.98568,1.70103,0.0009506,0.0009506,0.0009506
55,650.362,1.05116,1.15248,1.34047,0.50483,0.7037,0.54072,0.20649,1.46688,2.07746,1.7109,0.0009308,0.0009308,0.0009308
56,659.384,1.08316,1.19515,1.35337,0.46364,0.66667,0.47755,0.20805,1.49257,2.04353,1.71748,0.000911,0.000911,0.000911
